,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
5164,5415937,21156,774RJ34-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5165,5417217,21161,692BR32-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5166,5417473,21162,695AS30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5167,5417729,21163,773KA35A-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5168,5417985,21164,774AP36A-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5169,5418241,21165,778PN37-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5170,5418497,21166,779PN38-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5171,5418753,21167,773BR39-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5172,5419009,21168,77AP43A-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5173,5419265,21169,724GJ29-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5174,5419777,21171,182D040724-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5175,5420033,21172,364D020125-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5176,5420289,21173,KCEIL-SM,KAY CEE ENERGY & INFRA L,0.0,,0.0,0.05,500,EQ,NSE,NSE
5177,5420545,21174,CDSL,CENTRAL DEPO SER (I),0.0,,0.0,0.05,1,EQ,NSE,NSE
5178,5423617,21186,KLL-SM,KAUSHALYA LOGISTICS,0.0,,0.0,0.05,1600,EQ,NSE,NSE
5179,5424641,21190,84TCAPS24-N5,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5180,5425153,21192,85TCAPS24-N6,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5181,5425665,21194,855TCAPS27-N7,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5182,5425921,21195,GTPL,GTPL HATHWAY,0.0,,0.0,0.05,1,EQ,NSE,NSE
5183,5426433,21197,865TCAPS27-N8,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5184,5430529,21213,730AS29-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5185,5430785,21214,728GJ29-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5186,5431297,21216,654GJ30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5187,5431553,21217,ACCORD-SM,ACCORD SYNERGY,0.0,,0.0,0.05,2000,EQ,NSE,NSE
5188,5432577,21221,9TCAP28-N9,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5189,5433601,21225,910TCAP28-NA,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5190,5434113,21227,875TCAPS29-NB,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5191,5434625,21229,885TCAPS29-NC,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5192,5435137,21231,815LTF27-NO,,0.0,,0.0,0.01,1,EQ,NSE,NSE
